method,time_ms,memory_peak_kb
mysqli_object_static,95.0083,1910.5703125
mysqli_object_static,95.6918,1908.0703125
mysqli_object_static,98.1386,1908.0703125
mysqli_object_static,96.3084,1908.0703125
mysqli_object_static,95.3713,1908.0703125
mysqli_object_static,95.4904,1908.0703125
mysqli_object_static,96.0028,1908.0703125
mysqli_object_static,96.7569,1908.0703125
mysqli_object_static,95.7749,1908.0703125
mysqli_object_static,100.021,1908.0703125
mysqli_object_static,96.6084,1908.0703125
mysqli_object_static,95.1407,1908.0703125
mysqli_object_static,99.5079,1908.0703125
mysqli_object_static,95.3425,1908.0703125
mysqli_object_static,95.505,1908.0703125
mysqli_object_static,94.7782,1908.0703125
mysqli_object_static,94.0927,1908.0703125
mysqli_object_static,98.8416,1908.0703125
mysqli_object_static,95.4853,1908.0703125
mysqli_object_static,94.5437,1908.0703125
mysqli_object_static,95.1175,1908.0703125
mysqli_object_static,94.6828,1908.0703125
mysqli_object_static,97.3369,1908.0703125
mysqli_object_static,96.7251,1908.0703125
mysqli_object_static,95.3674,1908.0703125
mysqli_object_static,94.4248,1908.0703125
mysqli_object_static,95.3496,1908.0703125
mysqli_object_static,94.9336,1908.0703125
mysqli_object_static,95.9346,1908.0703125
mysqli_object_static,95.1367,1908.0703125
mysqli_object_static,96.2232,1908.0703125
mysqli_object_static,95.2607,1908.0703125
mysqli_object_static,96.3761,1908.0703125
mysqli_object_static,96.3713,1897.0703125
mysqli_object_static,94.518,1897.0703125
mysqli_object_static,95.9632,1897.0703125
mysqli_object_static,94.8816,1897.0703125
mysqli_object_static,95.6661,1897.0703125
mysqli_object_static,96.6826,1897.0703125
mysqli_object_static,95.8311,1897.0703125
mysqli_object_static,94.6855,1897.0703125
mysqli_object_static,95.3025,1897.0703125
mysqli_object_static,96.0678,1897.0703125
mysqli_object_static,96.7253,1897.0703125
mysqli_object_static,94.9199,1897.0703125
mysqli_object_static,95.004,1897.0703125
mysqli_object_static,95.8113,1897.0703125
mysqli_object_static,96.6569,1897.0703125
mysqli_object_static,96.2336,1897.0703125
mysqli_object_static,95.4556,1897.0703125
mysqli_object_static,94.4837,1897.0703125
mysqli_object_static,96.3586,1897.0703125
mysqli_object_static,96.1446,1897.0703125
mysqli_object_static,95.8767,1897.0703125
mysqli_object_static,96.7669,1897.0703125
mysqli_object_static,95.4209,1897.0703125
mysqli_object_static,94.9458,1897.0703125
mysqli_object_static,95.0349,1897.0703125
mysqli_object_static,95.9574,1897.0703125
mysqli_object_static,96.4699,1897.0703125
mysqli_object_static,96.0472,1897.0703125
mysqli_object_static,95.0514,1897.0703125
mysqli_object_static,94.4219,1897.0703125
mysqli_object_static,96.5574,1897.0703125
mysqli_object_static,97.0204,1897.0703125
mysqli_object_static,94.3145,1897.0703125
mysqli_object_static,96.8532,1897.0703125
mysqli_object_static,101.0247,1897.0703125
mysqli_object_static,102.6405,1897.0703125
mysqli_object_static,98.268,1897.0703125
mysqli_object_static,96.4382,1897.0703125
mysqli_object_static,100.0476,1897.0703125
mysqli_object_static,100.1379,1897.0703125
mysqli_object_static,100.2482,1897.0703125
mysqli_object_static,102.8947,1897.0703125
mysqli_object_static,96.7189,1897.0703125
mysqli_object_static,97.8202,1897.0703125
mysqli_object_static,99.9147,1897.0703125
mysqli_object_static,111.7197,1897.0703125
mysqli_object_static,103.2606,1897.0703125
mysqli_object_static,122.1766,1897.0703125
mysqli_object_static,99.6043,1897.0703125
mysqli_object_static,94.2675,1897.0703125
mysqli_object_static,96.3408,1897.0703125
mysqli_object_static,97.3917,1897.0703125
mysqli_object_static,95.2855,1897.0703125
mysqli_object_static,95.4135,1897.0703125
mysqli_object_static,95.9828,1897.0703125
mysqli_object_static,95.6653,1897.0703125
mysqli_object_static,96.7893,1897.0703125
mysqli_object_static,96.3598,1897.0703125
mysqli_object_static,97.2704,1897.0703125
mysqli_object_static,96.012,1897.0703125
mysqli_object_static,95.2556,1897.0703125
mysqli_object_static,98.7333,1897.0703125
mysqli_object_static,94.7575,1897.0703125
mysqli_object_static,95.9397,1897.0703125
mysqli_object_static,98.4924,1889.4140625
mysqli_object_static,95.119,1889.4140625
mysqli_object_static,97.0728,1889.4140625
mysqli_object_static,95.3873,1889.4140625
mysqli_object_static,95.0957,1889.4140625
mysqli_object_static,95.5196,1889.4140625
mysqli_object_static,96.8123,1889.4140625
mysqli_object_static,96.2499,1889.4140625
mysqli_object_static,97.6845,1889.4140625
mysqli_object_static,94.0319,1889.4140625
mysqli_object_static,95.3883,1889.4140625
mysqli_object_static,95.5812,1889.4140625
mysqli_object_static,95.0941,1889.4140625
mysqli_object_static,98.1023,1889.4140625
mysqli_object_static,96.2388,1889.4140625
mysqli_object_static,95.6337,1889.4140625
mysqli_object_static,95.6699,1889.4140625
mysqli_object_static,95.5149,1889.4140625
mysqli_object_static,96.8872,1889.4140625
mysqli_object_static,95.0082,1889.4140625
mysqli_object_static,95.4201,1889.4140625
mysqli_object_static,95.4793,1889.4140625
mysqli_object_static,94.9368,1889.4140625
mysqli_object_static,97.1022,1889.4140625
mysqli_object_static,96.5555,1889.4140625
mysqli_object_static,95.1286,1889.4140625
mysqli_object_static,94.9834,1889.4140625
mysqli_object_static,95.1469,1889.4140625
mysqli_object_static,97.9968,1889.4140625
mysqli_object_static,97.9352,1889.4140625
mysqli_object_static,96.1281,1889.4140625
mysqli_object_static,95.0006,1889.4140625
mysqli_object_static,96.1167,1889.4140625
mysqli_object_static,97.1705,1889.4140625
mysqli_object_static,95.0549,1889.4140625
mysqli_object_static,94.9508,1889.4140625
mysqli_object_static,97.2053,1889.4140625
mysqli_object_static,95.4957,1889.4140625
mysqli_object_static,94.7039,1889.4140625
mysqli_object_static,95.1091,1889.4140625
mysqli_object_static,97.5578,1889.4140625
mysqli_object_static,96.1398,1889.4140625
mysqli_object_static,96.3466,1889.4140625
mysqli_object_static,96.3411,1889.4140625
mysqli_object_static,98.8474,1889.4140625
mysqli_object_static,95.6537,1889.4140625
mysqli_object_static,95.3172,1889.4140625
mysqli_object_static,96.8568,1889.4140625
mysqli_object_static,95.9706,1889.4140625
mysqli_object_static,99.5141,1889.4140625
mysqli_object_static,95.2729,1889.4140625
mysqli_object_static,94.8102,1889.4140625
mysqli_object_static,97.7669,1889.4140625
mysqli_object_static,96.0812,1889.4140625
mysqli_object_static,95.9106,1889.4140625
mysqli_object_static,95.3335,1889.4140625
mysqli_object_static,96.535,1889.4140625
mysqli_object_static,95.8277,1889.4140625
mysqli_object_static,94.8136,1889.4140625
mysqli_object_static,95.7146,1889.4140625
mysqli_object_static,96.061,1889.4140625
mysqli_object_static,104.528,1889.4140625
mysqli_object_static,94.4457,1889.4140625
mysqli_object_static,96.6251,1889.4140625
mysqli_object_static,96.5013,1889.4140625
mysqli_object_static,95.1512,1889.4140625
mysqli_object_static,95.0352,1889.4140625
mysqli_object_static,96.3488,1889.4140625
mysqli_object_static,95.9164,1889.4140625
mysqli_object_static,100.1363,1889.4140625
mysqli_object_static,95.8238,1889.4140625
mysqli_prepared_static,97.6317,1887.3828125
mysqli_prepared_static,96.7264,1886.6484375
mysqli_prepared_static,96.8114,1886.6484375
mysqli_prepared_static,106.459,1886.6484375
mysqli_prepared_static,97.9382,1886.6484375
mysqli_prepared_static,97.9532,1886.6484375
mysqli_prepared_static,98.2783,1886.6484375
mysqli_prepared_static,96.3634,1886.6484375
mysqli_prepared_static,96.7845,1886.6484375
mysqli_prepared_static,100.1541,1886.0234375
mysqli_prepared_static,97.3686,1886.0234375
mysqli_prepared_static,96.242,1886.0234375
mysqli_prepared_static,100.0637,1886.0234375
mysqli_prepared_static,96.148,1886.0234375
mysqli_prepared_static,99.6571,1886.0234375
mysqli_prepared_static,96.8976,1886.0234375
mysqli_prepared_static,96.5295,1886.0234375
mysqli_prepared_static,98.5453,1884.7734375
mysqli_prepared_static,96.9044,1884.7734375
mysqli_prepared_static,97.4382,1884.7734375
mysqli_prepared_static,97.1599,1884.7734375
mysqli_prepared_static,97.9442,1884.7734375
mysqli_prepared_static,96.2803,1884.7734375
mysqli_prepared_static,97.5579,1884.7734375
mysqli_prepared_static,98.8998,1884.7734375
mysqli_prepared_static,96.9611,1884.7734375
mysqli_prepared_static,97.2913,1884.7734375
mysqli_prepared_static,97.1395,1884.7734375
mysqli_prepared_static,98.5308,1884.7734375
